Serial No,Song Name,Artist Name,Camelot,BPM,Duration,Popularity,energy,Danceability,Happiness,Accousticness,Instrumentalness,Liveness,Speechiness,Loudness,Category,Language
210,Pahadi - The folk songs of Uttarakhand,Nupur Pant,5A,150,4:19,37,42,60,56,81,0,11,4,-13,Vocal(Nepali),
211,Natkhat Nadiya,"Shantanu Moitra, Taba Chake, Maati Baani",10B,160,5:39,26,62,54,43,43,0,11,4,-8,Vocal(Hindi),
212,Ma Rewa,India Ocean,10B,155,6:38,21,68,48,89,49,87,13,7,-9,Vocal(Nepali),
213,Chaudhary,"Mame Khan, Amit Trivedi, Shellee",2B,169,7:01,67,68,46,82,49,0,30,16,-7,Vocal(Rajasthani),
214,Paon Ki Jutti,"Jyoti Nooran, Jaani, Bunny",7B,116,3:29,66,71,73,61,34,0,25,19,-5,Vocal(Rajasthani),
215,Rangi Saari,"Kavita Seth, Kanishk Seth",6B,140,3:34,61,69,61,27,21,6,9,4,-8,Vocal(Hindi),
216,Aje Na Jaa,Simran Chaudhary,7B,146,2:37,54,61,73,51,63,0,6,19,-7,Vocal(Punjabi),
217,Moti Veraana,"Amit Trivedi, Osman Mir",6B,113,4:16,56,78,71,62,27,0,8,8,-7,Vocal(Rajasthani),
218,Kitse,"Nyn Music, Mohito",2B,140,3:26,49,57,71,30,76,0,11,6,-8,Vocal(Rajasthani),
219,Dilshad,"Yewar Abdal, Sifar",2A,140,3:44,63,25,58,32,93,0,20,3,-13,Vocal(Nepali),
220,"Mitho Laage - The Dewarists, Season 5","Dhruv Ghanekar, Mame Khan",11B,96,4:40,49,71,60,63,11,0,10,7,-6,Vocal(Rajasthani),
221,Beriaan,Hari & Sukhmani,10B,142,3:50,35,48,67,60,9,0,8,3,-12,Vocal(Rajasthani),
222,Suwa Teri Yaadon Ma,Jubin Nautiyal,6B,138,2:45,36,37,73,58,68,0,17,4,-12,Vocal(Nepali),
223,Saawariyo,"Atmanam, Aditya Gadhvi",11B,90,4:25,32,68,40,14,2,0,17,4,-7,Vocal(Rajasthani),
224,Saadho,Aabhas-Shreyas,9B,80,5:09,20,30,45,71,95,0,11,5,-8,Vocal(Rajasthani),
225,Sajaniya,Mame Khan,10B,80,5:31,23,38,50,24,67,0,28,3,-12,Vocal(Rajasthani),
226,Nundbane,Aabha Hanjura,7B,94,4:11,13,55,69,79,13,0,10,3,-11,Vocal(Nepali),
227,Chhap Tilak,"Amrita Kak, Amaan Ali Bangash, Ayaan Ali Bangash",9B,85,4:31,26,49,55,29,52,0,10,4,-11,Vocal(Urdu),
228,Kon Halave Limdi - Reprise,"Dhaval Kothari, Sarthak Kalyani",9B,120,3:58,22,32,59,26,77,0,7,3,-15,Vocal(Rajasthani),
229,Chidiya Da Chamba,"Salim–Sulaiman, Sukhwinder Singh",11B,110,4:53,24,52,55,10,35,0,37,3,-7,Vocal(Punjabi),
230,Saawariya,Nyasa,10B,94,4:51,21,87,50,46,20,0,8,6,-3,Vocal(Rajasthani),
231,Sahibo,Aabha Hanjura,11B,86,4:45,10,21,43,18,84,0,14,4,-14,Vocal(Nepali),
232,Dua,"Vishnu Sunil, Kasthoori Rawat",8B,137,3:19,14,38,57,56,52,0,8,3,-10,Vocal(Rajasthani),
233,Kesariya Balam,Mame Khan,7B,160,4:11,37,53,41,55,69,0,6,4,-7,Vocal(Rajasthani),
234,Maari Maavadi,"Amit Trivedi, Osman Mir, Aamir Mir",10A,106,4:52,36,65,44,32,67,0,18,7,-6,Vocal(Rajasthani),
235,A Life Worth Living (Kesariyo),"Shashwat Sachdev, Chotu Khan, Salman Khan, Triplicane K. Sekar",10B,144,3:04,24,79,67,73,34,0,13,11,-6,Vocal(Rajasthani),
236,Jag Baurana,"Aabhas - Shreyas, Indie Routes",12B,118,5:52,24,46,57,71,64,0,11,5,-8,Vocal(Rajasthani),
237,Pagdandi,"Nyasa, Gaurav Chati",11B,112,3:11,14,70,78,59,76,0,10,5,-6,Vocal(Rajasthani),
238,Tomar Ghore Bosot Kore,Rishi Panda,12B,113,3:02,44,68,73,78,65,0,19,5,-6,Vocal(Bengali),
239,Kalo Jwole Kuchla Tole,Rishi Panda,11B,105,3:51,43,46,59,39,79,0,6,9,-8,Vocal(Bengali),
240,Lal Paharir Deshe Ja,Bhoomi,7B,89,6:24,19,62,49,56,73,0,12,10,-8,Vocal(Bengali),
241,Phagooner Mohonaye,"Bhoomi, SD",8B,85,4:15,1,63,54,27,41,0,12,7,-9,Vocal(Bengali),
242,Pindare Polaser Bon,"Poushali Banerjee, Dohar",5B,114,3:45,34,52,77,55,63,0,12,5,-5,Vocal(Bengali),
243,Sohag Chand Badoni,Babul Supriyo,5B,118,3:56,31,72,74,82,36,0,6,22,-7,Vocal(Bengali),
244,Khachar Vitar Achin Pakhi Kemne Aase Jai,Kartik Das Baul,12B,154,6:00,30,61,76,86,68,0,7,7,-8,Vocal(Bengali),
245,Raushan - From 'Raushan',Swarathma,2B,147,5:23,14,49,66,9,21,0,3,3,-7,Vocal(Hindi),
246,Bandeh,Indian Ocean,5A,135,7:49,26,43,61,16,33,0,8,5,-8,Vocal(Hindi),
247,Bhopa Bhopi Inst - Live,"Jiyaram, Bhopa Bhopi Artists",10A,165,3:18,0,60,44,79,16,0,33,25,-12,Vocal(Rajasthani),
248,Hazari Sudlo,Chorus (Gujarat),4A,126,3:26,1,91,60,92,40,0,19,12,-5,Vocal(Rajasthani),
249,Om Bhur Bhuva Swaha,"Meditating Spirit, Bhanupratap Rawal",3B,133,3:34,30,11,18,4,93,35,9,4,-14,Vocal(Sanskrit),
